Source,Target,Type,Id,Label,timeset,Weight
273,MAIPU,Directed,985,,,1
274,MAIPU,Directed,986,,,1
275,MAIPU,Directed,987,,,1
276,MAIPU,Directed,988,,,1
277,MAIPU,Directed,989,,,1
278,MAIPU,Directed,990,,,1
279,MELIPILLA,Directed,991,,,1
280,MELIPILLA,Directed,992,,,1
281,MELIPILLA,Directed,993,,,1
282,MELIPILLA,Directed,994,,,1
283,MELIPILLA,Directed,995,,,1
284,MELIPILLA,Directed,996,,,1
285,MELIPILLA,Directed,997,,,1
286,MELIPILLA,Directed,998,,,1
287,NUNOA,Directed,999,,,1
288,NUNOA,Directed,1000,,,1
289,NUNOA,Directed,1001,,,1
290,NUNOA,Directed,1002,,,1
291,NUNOA,Directed,1003,,,1
292,NUNOA,Directed,1004,,,1
293,NUNOA,Directed,1005,,,1
294,NUNOA,Directed,1006,,,1
295,NUNOA,Directed,1007,,,1
296,NUNOA,Directed,1008,,,1
297,NUNOA,Directed,1009,,,1
298,NUNOA,Directed,1010,,,1
299,NUNOA,Directed,1011,,,1
300,NUNOA,Directed,1012,,,1
301,NUNOA,Directed,1013,,,1
302,NUNOA,Directed,1014,,,1
303,NUNOA,Directed,1015,,,1
304,NUNOA,Directed,1016,,,1
305,NUNOA,Directed,1017,,,1
306,NUNOA,Directed,1018,,,1
307,NUNOA,Directed,1019,,,1
308,NUNOA,Directed,1020,,,1
309,NUNOA,Directed,1021,,,1
310,NUNOA,Directed,1022,,,1
311,NUNOA,Directed,1023,,,1
312,NUNOA,Directed,1024,,,1
313,NUNOA,Directed,1025,,,1
314,NUNOA,Directed,1026,,,1
315,NUNOA,Directed,1027,,,1
316,NUNOA,Directed,1028,,,1
317,NUNOA,Directed,1029,,,1
318,NUNOA,Directed,1030,,,1
319,PADRE HURTADO,Directed,1031,,,1
320,PADRE HURTADO,Directed,1032,,,1
321,PAINE,Directed,1033,,,1
322,PAINE,Directed,1034,,,1
323,PEDRO AGUIRRE CERDA,Directed,1035,,,1
324,PEDRO AGUIRRE CERDA,Directed,1036,,,1
325,PEDRO AGUIRRE CERDA,Directed,1037,,,1
326,PEDRO AGUIRRE CERDA,Directed,1038,,,1
327,PENAFLOR,Directed,1039,,,1
328,PENAFLOR,Directed,1040,,,1
329,PENAFLOR,Directed,1041,,,1
330,PENAFLOR,Directed,1042,,,1
331,PENAFLOR,Directed,1043,,,1
332,PENAFLOR,Directed,1044,,,1
333,PENAFLOR,Directed,1045,,,1
334,PENAFLOR,Directed,1046,,,1
335,PENALOLEN,Directed,1047,,,1
336,PENALOLEN,Directed,1048,,,1
337,PENALOLEN,Directed,1049,,,1
338,PENALOLEN,Directed,1050,,,1
339,PENALOLEN,Directed,1051,,,1
340,PENALOLEN,Directed,1052,,,1
341,PENALOLEN,Directed,1053,,,1
342,PENALOLEN,Directed,1054,,,1
343,PENALOLEN,Directed,1055,,,1
344,PENALOLEN,Directed,1056,,,1
345,PENALOLEN,Directed,1057,,,1
346,PENALOLEN,Directed,1058,,,1
347,PENALOLEN,Directed,1059,,,1
348,PENALOLEN,Directed,1060,,,1
349,PENALOLEN,Directed,1061,,,1
350,PENALOLEN,Directed,1062,,,1
351,PENALOLEN,Directed,1063,,,1
352,PENALOLEN,Directed,1064,,,1
353,PENALOLEN,Directed,1065,,,1
354,PENALOLEN,Directed,1066,,,1
355,PENALOLEN,Directed,1067,,,1
356,PENALOLEN,Directed,1068,,,1
357,PENALOLEN,Directed,1069,,,1
358,PENALOLEN,Directed,1070,,,1
359,PIRQUE,Directed,1071,,,1
360,PROVIDENCIA,Directed,1072,,,1
361,PROVIDENCIA,Directed,1073,,,1
362,PROVIDENCIA,Directed,1074,,,1
363,PROVIDENCIA,Directed,1075,,,1
364,PROVIDENCIA,Directed,1076,,,1
365,PROVIDENCIA,Directed,1077,,,1
366,PROVIDENCIA,Directed,1078,,,1
367,PROVIDENCIA,Directed,1079,,,1
368,PROVIDENCIA,Directed,1080,,,1
369,PROVIDENCIA,Directed,1081,,,1
370,PROVIDENCIA,Directed,1082,,,1
371,PROVIDENCIA,Directed,1083,,,1
372,PROVIDENCIA,Directed,1084,,,1
373,PROVIDENCIA,Directed,1085,,,1
374,PROVIDENCIA,Directed,1086,,,1
375,PROVIDENCIA,Directed,1087,,,1
376,PROVIDENCIA,Directed,1088,,,1
377,PROVIDENCIA,Directed,1089,,,1
378,PROVIDENCIA,Directed,1090,,,1
379,PROVIDENCIA,Directed,1091,,,1
380,PROVIDENCIA,Directed,1092,,,1
381,PROVIDENCIA,Directed,1093,,,1
382,PROVIDENCIA,Directed,1094,,,1
383,PUDAHUEL,Directed,1095,,,1
384,PUDAHUEL,Directed,1096,,,1
385,PUDAHUEL,Directed,1097,,,1
386,PUDAHUEL,Directed,1098,,,1
387,PUDAHUEL,Directed,1099,,,1
388,PUDAHUEL,Directed,1100,,,1
389,PUDAHUEL,Directed,1101,,,1
390,PUDAHUEL,Directed,1102,,,1
391,PUDAHUEL,Directed,1103,,,1
392,PUDAHUEL,Directed,1104,,,1
393,PUDAHUEL,Directed,1105,,,1
394,PUDAHUEL,Directed,1106,,,1
395,PUDAHUEL,Directed,1107,,,1
396,PUDAHUEL,Directed,1108,,,1
397,PUDAHUEL,Directed,1109,,,1
398,PUDAHUEL,Directed,1110,,,1
399,PUENTE ALTO,Directed,1111,,,1
400,PUENTE ALTO,Directed,1112,,,1
401,PUENTE ALTO,Directed,1113,,,1
402,PUENTE ALTO,Directed,1114,,,1
403,PUENTE ALTO,Directed,1115,,,1
404,PUENTE ALTO,Directed,1116,,,1
405,PUENTE ALTO,Directed,1117,,,1
406,PUENTE ALTO,Directed,1118,,,1
407,PUENTE ALTO,Directed,1119,,,1
408,PUENTE ALTO,Directed,1120,,,1
409,PUENTE ALTO,Directed,1121,,,1
410,PUENTE ALTO,Directed,1122,,,1
411,PUENTE ALTO,Directed,1123,,,1
412,PUENTE ALTO,Directed,1124,,,1
413,PUENTE ALTO,Directed,1125,,,1
414,PUENTE ALTO,Directed,1126,,,1
415,PUENTE ALTO,Directed,1127,,,1
416,PUENTE ALTO,Directed,1128,,,1
417,PUENTE ALTO,Directed,1129,,,1
418,PUENTE ALTO,Directed,1130,,,1
419,PUENTE ALTO,Directed,1131,,,1
420,PUENTE ALTO,Directed,1132,,,1
421,PUENTE ALTO,Directed,1133,,,1
422,PUENTE ALTO,Directed,1134,,,1
423,PUENTE ALTO,Directed,1135,,,1
424,PUENTE ALTO,Directed,1136,,,1
425,PUENTE ALTO,Directed,1137,,,1
426,PUENTE ALTO,Directed,1138,,,1
427,PUENTE ALTO,Directed,1139,,,1
428,PUENTE ALTO,Directed,1140,,,1
429,PUENTE ALTO,Directed,1141,,,1
430,PUENTE ALTO,Directed,1142,,,1
431,PUENTE ALTO,Directed,1143,,,1
432,PUENTE ALTO,Directed,1144,,,1
433,PUENTE ALTO,Directed,1145,,,1
434,QUILICURA,Directed,1146,,,1
435,QUILICURA,Directed,1147,,,1
436,QUILICURA,Directed,1148,,,1
437,QUILICURA,Directed,1149,,,1
438,QUILICURA,Directed,1150,,,1
439,QUILICURA,Directed,1151,,,1
440,QUILICURA,Directed,1152,,,1
441,QUILICURA,Directed,1153,,,1
442,QUILICURA,Directed,1154,,,1
443,QUILICURA,Directed,1155,,,1
444,QUINTA NORMAL,Directed,1156,,,1
445,QUINTA NORMAL,Directed,1157,,,1
446,QUINTA NORMAL,Directed,1158,,,1
447,QUINTA NORMAL,Directed,1159,,,1
448,QUINTA NORMAL,Directed,1160,,,1
449,QUINTA NORMAL,Directed,1161,,,1
450,QUINTA NORMAL,Directed,1162,,,1
451,RECOLETA,Directed,1163,,,1
452,RECOLETA,Directed,1164,,,1
453,RECOLETA,Directed,1165,,,1
454,RECOLETA,Directed,1166,,,1
455,RECOLETA,Directed,1167,,,1
456,RECOLETA,Directed,1168,,,1
457,RECOLETA,Directed,1169,,,1
458,RECOLETA,Directed,1170,,,1
459,RECOLETA,Directed,1171,,,1
460,RENCA,Directed,1172,,,1
461,RENCA,Directed,1173,,,1
462,RENCA,Directed,1174,,,1
463,RENCA,Directed,1175,,,1
464,RENCA,Directed,1176,,,1
465,RENCA,Directed,1177,,,1
466,SAN BERNARDO,Directed,1178,,,1
467,SAN BERNARDO,Directed,1179,,,1
468,SAN BERNARDO,Directed,1180,,,1
469,SAN BERNARDO,Directed,1181,,,1
470,SAN BERNARDO,Directed,1182,,,1
471,SAN BERNARDO,Directed,1183,,,1
472,SAN BERNARDO,Directed,1184,,,1
473,SAN BERNARDO,Directed,1185,,,1
474,SAN BERNARDO,Directed,1186,,,1
475,SAN BERNARDO,Directed,1187,,,1
476,SAN BERNARDO,Directed,1188,,,1
477,SAN BERNARDO,Directed,1189,,,1
478,SAN BERNARDO,Directed,1190,,,1
479,SAN BERNARDO,Directed,1191,,,1
480,SAN BERNARDO,Directed,1192,,,1
481,SAN JOAQUIN,Directed,1193,,,1
482,SAN JOAQUIN,Directed,1194,,,1
483,SAN JOAQUIN,Directed,1195,,,1
484,SAN JOAQUIN,Directed,1196,,,1
485,SAN JOAQUIN,Directed,1197,,,1
486,SAN JOSE DE MAIPO,Directed,1198,,,1
487,SAN MIGUEL,Directed,1199,,,1
488,SAN MIGUEL,Directed,1200,,,1
489,SAN MIGUEL,Directed,1201,,,1
490,SAN MIGUEL,Directed,1202,,,1
