Id,Label,timeset,farmacia,latitude,longitude,NOmbre,comune,weighted indegree,weighted outdegree,weighted degree,indegree,outdegree,degree,Authority,Hub,pageranks,clustering,triangles
81,SANTA LAURA,,INDEPENDENCIA,33.405615,-70.660912,SANTA LAURA,,0,1,1,0,1,1,0,0,0.000771,0,0
82,VALLE DE VIDA,,INDEPENDENCIA,33.407093,-70.660249,VALLE DE VIDA,,0,1,1,0,1,1,0,0,0.000771,0,0
83,ECUANASER,,ISLA DE MAIPO,33.745037,-70.864777,ECUANASER,,0,1,1,0,1,1,0,0,0.000831,0,0
84,ECUANASER,,ISLA DE MAIPO,33.754429,-70.90094,ECUANASER,,0,1,1,0,1,1,0,0,0.000831,0,0
85,FARMAMARKET,,ISLA DE MAIPO,33.756367,-70.896568,FARMAMARKET,,0,1,1,0,1,1,0,0,0.000831,0,0
86,SALCOBRAND,,LA CISTERNA,33.538005,-70.664369,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000765,0,0
87,AHUMADA,,LA CISTERNA,33.538335,-70.663864,AHUMADA,,0,1,1,0,1,1,0,0,0.000765,0,0
88,AHUMADA,,LA CISTERNA,33.52358,-70.660504,AHUMADA,,0,1,1,0,1,1,0,0,0.000765,0,0
89,BELEN,,LA CISTERNA,33.535849,-70.664092,BELEN,,0,1,1,0,1,1,0,0,0.000765,0,0
90,CRUZ VERDE,,LA CISTERNA,33.538403,-70.664446,CRUZ VERDE,,0,1,1,0,1,1,0,0,0.000765,0,0
91,DEL DR. SIMI,,LA CISTERNA,33.5378,-70.663723,DEL DR. SIMI,,0,1,1,0,1,1,0,0,0.000765,0,0
92,DEL DR. SIMI,,LA CISTERNA,33.527418,-70.661756,DEL DR. SIMI,,0,1,1,0,1,1,0,0,0.000765,0,0
93,MARTINEZ  ACUNA,,LA CISTERNA,33.54348,-70.666708,MARTINEZ  ACUNA,,0,1,1,0,1,1,0,0,0.000765,0,0
94,SALCOBRAND,,LA CISTERNA,33.518528,-70.659275,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000765,0,0
95,MANRIQUEZ,,LA CISTERNA,33.523955,-70.660611,MANRIQUEZ,,0,1,1,0,1,1,0,0,0.000765,0,0
96,SALCOBRAND,,LA CISTERNA,33.538229,-70.664881,SALCOBRAND,,0,1,1,0,1,1,0,0,0.000765,0,0
97,AHUMADA,,LA FLORIDA,33.511522,-70.590659,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
98,AHUMADA,,LA FLORIDA,33.51989,-70.595603,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
99,AHUMADA,,LA FLORIDA,33.516006,-70.5976,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
100,AHUMADA,,LA FLORIDA,33.543243,-70.570288,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
101,AHUMADA,,LA FLORIDA,33.535917,-70.555482,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
102,AHUMADA,,LA FLORIDA,33.545723,-70.569232,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
103,AHUMADA,,LA FLORIDA,33.510377,-70.608662,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
104,AHUMADA,,LA FLORIDA,33.511162,-70.608098,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
105,AHUMADA,,LA FLORIDA,33.515655,-70.606581,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
106,AHUMADA,,LA FLORIDA,33.535135,-70.593341,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
107,AHUMADA,,LA FLORIDA,33.543827,-70.58935,AHUMADA,,0,1,1,0,1,1,0,0,0.000722,0,0
