,Source,Target,distancias,longitudclase,pesos
392718,551,568,1061.96174379667,C,0.896372568801348
392728,551,578,1674.09877864119,C,0.845847535937747
392737,551,587,1794.79920746827,C,0.83654995251967
392743,551,593,1415.18609534456,C,0.866505817873808
392745,551,595,1777.8828073157,C,0.837840691960501
392781,551,631,1994.24336014421,C,0.821626647818485
393031,552,168,1992.75367058551,C,0.821736139211318
393050,552,187,1977.90364314494,C,0.822829205863563
393060,552,197,1640.5717180764,C,0.848466923657688
393423,552,560,1412.99256480503,C,0.866685148236063
393425,552,562,1728.22296263537,C,0.841652904765646
393461,552,598,1049.32218677877,C,0.897479504142436
393744,553,168,1192.03312355676,C,0.885137944172885
393745,553,169,1785.612395327,C,0.837250422282646
393763,553,187,1208.38689377798,C,0.883745322078943
393773,553,197,1735.56281474732,C,0.841087266610112
393777,553,201,1638.83344782537,C,0.848603172922833
393937,553,361,1565.40085106461,C,0.854399217037073
393940,553,364,1571.62782960245,C,0.853904650313021
393948,553,372,1571.5201006936,C,0.853913201623415
394133,553,557,1626.34856761571,C,0.849583051299332
394136,553,560,1753.33541845856,C,0.839720783334636
394139,553,563,1293.78717310792,C,0.876543585397253
394143,553,567,1097.14421159547,C,0.893305720640268
394174,553,598,1411.78182336143,C,0.866784163245663
394190,553,614,1822.49493341271,C,0.83444530287947
394227,553,651,1993.75101324881,C,0.821662831826011
394263,553,687,1557.0390736383,C,0.855064238238542
394457,554,168,1821.61649615522,C,0.834511894327067
394458,554,169,1743.00048093069,C,0.840514865532619
394476,554,187,1759.93528045387,C,0.83921446923356
394486,554,197,1110.40793137693,C,0.892154965156379
394490,554,201,1724.51735041793,C,0.841938763064112
394848,554,559,1882.10043376825,C,0.829951497824097
394851,554,562,1385.78575056284,C,0.868915605703809
395179,555,177,1899.62090321406,C,0.828639776643358
395180,555,178,1587.51055129048,C,0.85264578213444
395198,555,196,1588.99083370735,C,0.852528643674155
395199,555,197,1904.15082690352,C,0.828301304983417
395211,555,209,1854.74007793435,C,0.832008237773393
395213,555,211,1856.98753460946,C,0.831838907157747
395214,555,212,1694.33610327756,C,0.844274255883669
395558,555,556,1153.28235992196,C,0.888455392404674
395562,555,560,1717.66440775134,C,0.842467924615958
395564,555,562,1291.80828008946,C,0.876709135199827
395566,555,564,1317.30696862239,C,0.874580748226466
395570,555,568,1266.68125696061,C,0.878816657382921
395589,555,587,1324.0017317838,C,0.874023645074259
395597,555,595,1316.49032915979,C,0.874648753291501
395892,556,177,1300.06742733902,C,0.876018607070103
395893,556,178,1843.88879184469,C,0.832826779502282
395911,556,196,1833.65725987978,C,0.8336000481125
395913,556,198,1052.93229073262,C,0.897163063006307
395914,556,199,1052.93229073262,C,0.897163063006307
395915,556,200,1057.02458594274,C,0.896804625470503
395924,556,209,1484.59037592064,C,0.860869798016586
395931,556,216,1053.68055011698,C,0.897097502770327
395933,556,218,1330.00196505018,C,0.873524939837898
396270,556,555,1153.28235992196,C,0.888455392404674
396273,556,558,1149.20128924575,C,0.888806220311289
396276,556,561,1443.85458717221,C,0.864168852694306
396279,556,564,1436.92068007697,C,0.864732926492016
396280,556,565,1220.5165975788,C,0.882715231897539
396293,556,578,1052.93229073262,C,0.897163063006307
396302,556,587,1673.69701227138,C,0.845878829220774
396308,556,593,1496.88047147407,C,0.859879404972431
396310,556,595,1635.46071630983,C,0.848867659546815
396625,557,197,1537.86600086319,C,0.85659300873383
396981,557,553,1626.34856761571,C,0.849583051299332
396987,557,559,1446.35894066758,C,0.863965304223185
396988,557,560,1092.28828102081,C,0.893727762118984
396990,557,562,1094.95905937851,C,0.893495588531106
396994,557,566,1398.38982943751,C,0.867880877868659
397319,558,178,1825.03952304397,C,0.834252465851433
397337,558,196,1825.9093070742,C,0.834186571312145
397353,558,212,1931.0066702392,C,0.826300326733791
397697,558,556,1149.20128924575,C,0.888806220311289
397701,558,560,1834.64415492078,C,0.833525398967323
397703,558,562,1349.32854830575,C,0.871922485837159
397705,558,564,1080.13161634803,C,0.894786080181907
397709,558,568,1260.93642675268,C,0.879299927362436
397728,558,587,1080.23173061293,C,0.894777354337406
397736,558,595,1072.58717158963,C,0.895444135346233
398051,559,197,1502.28207041244,C,0.859444839523496
398066,559,212,1871.02013543157,C,0.830783202565046
398405,559,551,1413.56634642403,C,0.866638232003193
398408,559,554,1882.10043376825,C,0.829951497824097
398411,559,557,1446.35894066758,C,0.863965304223185
398414,559,560,1105.39462344491,C,0.89258956922564
398417,559,563,1930.8594995585,C,0.826311265798719
398418,559,564,1634.0306812069,C,0.848979851413147
398421,559,567,1654.37924870973,C,0.847386212516731
398441,559,587,1446.48003480601,C,0.863955464382144
398447,559,593,1051.93626132803,C,0.897250346974586
398449,559,595,1470.29447773715,C,0.862024702141054
398452,559,598,1361.75596404804,C,0.870895174945537
398736,560,169,1690.06225086106,C,0.844606023922478
398737,560,170,1668.21917317692,C,0.846305725145189
398738,560,171,1795.57820671399,C,0.836490609821437
398755,560,188,1875.61123738823,C,0.830438385014266
398768,560,201,1814.48940609546,C,0.835052568839423
398778,560,211,1550.62375938097,C,0.855575157349008
398779,560,212,1439.33130656411,C,0.864536738385143
399118,560,551,1944.71338255146,C,0.825282787151514
399119,560,552,1412.99256480503,C,0.866685148236063
399120,560,553,1753.33541845856,C,0.839720783334636
399122,560,555,1717.66440775134,C,0.842467924615958
399124,560,557,1092.28828102081,C,0.893727762118984
399125,560,558,1834.64415492078,C,0.833525398967323
