,Source,Target,distancias,longitudclase,pesos
254881,358,340,798.372422849741,B,0.920037161910228
254882,358,341,971.211921435261,B,0.904381290709019
254886,358,345,798.44885563906,B,0.920030118800954
254889,358,348,664.693171467492,B,0.932522665792228
254898,358,357,837.586383700332,B,0.916437792890217
255211,358,670,648.164959814785,B,0.93408996267769
256348,360,381,943.905613654994,B,0.906819171957251
256546,360,579,965.877273840619,B,0.904856532182448
257049,361,369,604.283744221484,B,0.938276698800325
257056,361,376,551.636547008027,B,0.94334959712738
257061,361,381,688.883793397782,B,0.930238235449941
257259,361,579,711.610609927061,B,0.928102212555091
257331,361,651,501.80423890637,B,0.948202056043867
257758,362,365,789.014662482682,B,0.920900273989267
257768,362,375,852.072054049313,B,0.915115295858285
257771,362,378,861.706816159644,B,0.914237783423387
257775,362,382,849.118710471048,B,0.91538461715773
258395,363,289,991.269643294133,B,0.902598890303436
258474,363,368,734.552933365266,B,0.925955861311703
258477,363,371,847.597728736001,B,0.9155233803721
258480,363,374,583.310545615076,B,0.940291050067551
258483,363,377,843.669560671464,B,0.915881952315107
258775,363,669,797.272361839927,B,0.920138541998988
259188,364,369,597.976889115282,B,0.938881526791544
259195,364,376,545.505692077495,B,0.943943912825112
259200,364,381,682.582844287219,B,0.930832184035293
259398,364,579,705.343465767221,B,0.928690261787393
259894,365,362,789.014662482682,B,0.920900273989267
259899,365,367,812.020605173507,B,0.918781219870286
259900,365,368,884.241378026314,B,0.912191942699456
260182,365,650,699.852948588148,B,0.929206052454192
260412,366,167,894.522870244932,B,0.911261557622912
260417,366,172,926.611461636075,B,0.908369987143736
260844,366,599,876.209869181881,B,0.912920046705711
260883,366,638,795.414058883552,B,0.920309851367537
260895,366,650,845.881089435707,B,0.915680044492022
261323,367,365,812.020605173507,B,0.918781219870286
261333,367,375,880.953179416705,B,0.912489896988167
261336,367,378,848.365756665178,B,0.915453305880846
261340,367,382,877.897072991578,B,0.912766995229684
261960,368,289,830.206022634911,B,0.917113068066107
261969,368,298,692.770772488258,B,0.929872213640083
261982,368,311,689.045475184204,B,0.930223004756951
262034,368,363,734.552933365266,B,0.925955861311703
262036,368,365,884.241378026314,B,0.912191942699456
262342,368,671,734.839075400257,B,0.925929154194743
262745,369,361,604.283744221484,B,0.938276698800325
262748,369,364,597.976889115282,B,0.938881526791544
262756,369,372,598.057229007281,B,0.938873817285227
262764,369,380,606.022544332473,B,0.938110084720796
263071,369,687,606.980788918908,B,0.938018289771004
263468,370,371,551.80737318184,B,0.943333048215838
263601,370,504,629.159616365078,B,0.935898679447273
263616,370,519,966.131253106937,B,0.904833894907063
263618,370,521,721.110087296715,B,0.927212290432065
263619,370,522,918.71922094638,B,0.909079470564734
263734,370,637,723.544534388601,B,0.926984503242079
263758,370,661,713.801329828894,B,0.927896831842359
263809,370,712,682.014033193318,B,0.930885839403058
264173,371,363,847.597728736001,B,0.9155233803721
264180,371,370,551.80737318184,B,0.943333048215838
264183,371,373,971.88565204792,B,0.904321306364602
264184,371,374,970.261963732435,B,0.904465881937134
264187,371,377,734.212371362863,B,0.92598764973396
264463,371,653,913.063100805253,B,0.909588617103743
264471,371,661,815.312168640474,B,0.918478834483873
264481,371,671,824.793985460412,B,0.917608881813806
264892,372,369,598.057229007281,B,0.938873817285227
264899,372,376,545.546286257653,B,0.943939975224656
264904,372,381,682.672588885937,B,0.930823719084161
265102,372,579,705.40637736338,B,0.928684355058637
265607,373,371,971.88565204792,B,0.904321306364602
265615,373,379,619.463242469717,B,0.936824173388133
265740,373,504,840.783040604827,B,0.916145619386024
265948,373,712,957.233482425495,B,0.905627632660945
266312,374,363,583.310545615076,B,0.940291050067551
266320,374,371,970.261963732435,B,0.904465881937134
266329,374,380,790.52018855336,B,0.920761302649505
266620,374,671,659.044619730981,B,0.933057700939204
266960,375,298,884.841951487769,B,0.912137543813715
266973,375,311,880.007612250257,B,0.912575613918639
267024,375,362,852.072054049313,B,0.915115295858285
267029,375,367,880.953179416705,B,0.912489896988167
267736,376,361,551.636547008027,B,0.94334959712738
267739,376,364,545.505692077495,B,0.943943912825112
267747,376,372,545.546286257653,B,0.943939975224656
267755,376,380,715.416123054934,B,0.927745502630015
268062,376,687,532.607187637275,B,0.945196722382243
268375,377,287,581.399365510042,B,0.940475037642074
268377,377,289,811.093327198614,B,0.91886644187534
268389,377,301,926.884444933586,B,0.908345466763058
268392,377,304,972.332255584061,B,0.904281548239774
268451,377,363,843.669560671464,B,0.915881952315107
268459,377,371,734.212371362863,B,0.92598764973396
268697,377,609,805.419537990757,B,0.91938823918403
268731,377,643,540.266514355863,B,0.944452384413821
268749,377,661,711.224345456444,B,0.928138434405367
268759,377,671,766.27072756094,B,0.92300482511569
269163,378,362,861.706816159644,B,0.914237783423387
269168,378,367,848.365756665178,B,0.915453305880846
269451,378,650,865.454417128763,B,0.913896914803192
269887,379,373,619.463242469717,B,0.936824173388133
270018,379,504,536.403216998503,B,0.94482767538257
270226,379,712,599.990971385472,B,0.938688291385375
270596,380,369,606.022544332473,B,0.938110084720796
270601,380,374,790.52018855336,B,0.920761302649505
270603,380,376,715.416123054934,B,0.927745502630015
270608,380,381,514.462651991002,B,0.946964709771336
270806,380,579,541.457583134209,B,0.944336740948256
270841,380,614,975.439901207127,B,0.904004992109493
270878,380,651,838.597487960304,B,0.916345358108886
270896,380,669,531.376196719225,B,0.945316460266221
271300,381,360,943.905613654994,B,0.906819171957251
271301,381,361,688.883793397782,B,0.930238235449941
271304,381,364,682.582844287219,B,0.930832184035293
271312,381,372,682.672588885937,B,0.930823719084161
271320,381,380,514.462651991002,B,0.946964709771336
271609,381,669,989.987007242253,B,0.902712659600329
271627,381,687,696.190388827051,B,0.929550439663626
271951,382,298,891.584189902311,B,0.911527288716831
271964,382,311,886.688540666706,B,0.91197032365653
272015,382,362,849.118710471048,B,0.91538461715773
272020,382,367,877.897072991578,B,0.912766995229684
272757,383,391,528.241917230886,B,0.945621467097588
272759,383,393,933.949337041783,B,0.907711331875028
