,id,latitude,longitude,label
368,AHUMADA,-33.43953833448415,-70.60791102645874,PROVIDENCIA
369,AHUMADA,-33.422532,-70.611052,PROVIDENCIA
370,AHUMADA,-33.440999,-70.630386,PROVIDENCIA
371,CARMEN,-33.439826,-70.624619,PROVIDENCIA
372,CRUZ VERDE,-33.417669,-70.608274,PROVIDENCIA
373,CRUZ VERDE,-33.431983,-70.62928,PROVIDENCIA
374,CRUZ VERDE,-33.433335,-70.617624,PROVIDENCIA
375,CRUZ VERDE,-33.437794,-70.604202,PROVIDENCIA
376,CRUZ VERDE,-33.422469,-70.609555,PROVIDENCIA
377,CRUZ VERDE,-33.445095,-70.619839,PROVIDENCIA
378,LIDO,-33.42803,-70.593875,PROVIDENCIA
379,ROESAR,-33.432565,-70.635905,PROVIDENCIA
380,SALCOBRAND,-33.426402,-70.615652,PROVIDENCIA
381,SALCOBRAND,-33.42306,-70.611816,PROVIDENCIA
382,SALCOBRAND,-33.437816,-70.603767,PROVIDENCIA
383,FARMA UNO,-33.432032,-70.752579,PUDAHUEL
384,AHUMADA,-33.449343,-70.848439,PUDAHUEL
385,AHUMADA,-33.467965,-70.731704,PUDAHUEL
386,AHUMADA,-33.454986,-70.738717,PUDAHUEL
387,AHUMADA,-33.457511,-70.823418,PUDAHUEL
388,BELEN,-33.462165,-70.737344,PUDAHUEL
389,CRUZ VERDE,-33.396873,-70.791846,PUDAHUEL
390,CRUZ VERDE,-33.453321,-70.763032,PUDAHUEL
391,EMIFAR,-33.436491,-70.750583,PUDAHUEL
392,LAISA,-33.459909,-70.761441,PUDAHUEL
393,FARMA OFERTA,-33.439105,-70.758029,PUDAHUEL
394,CRUZ VERDE ,-33.444607,-70.740637,PUDAHUEL
395,SAN PIO,-33.437548,-70.77114,PUDAHUEL
396,TIERRA DEL FUEGO ,-33.43214,-70.750476,PUDAHUEL
397,TORRES,-33.460071,-70.751806,PUDAHUEL
398,LAS PRINCESAS,-33.44197,-70.763715,PUDAHUEL
399,SALCOBRAND,-33.557954,-70.559352,PUENTE ALTO
400,SALCOBRAND,-33.568989,-70.554782,PUENTE ALTO
401,SALCOBRAND,-33.569053,-70.554921,PUENTE ALTO
402,SALCOBRAND,-33.572973,-70.582806,PUENTE ALTO
403,LA BOTIKA,-33.582367,-70.601532,PUENTE ALTO
404,LOS TOROS,-33.567925,-70.570904,PUENTE ALTO
405,AHUMADA,-33.598678,-70.577779,PUENTE ALTO
406,AHUMADA,-33.598678,-70.577779,PUENTE ALTO
407,AHUMADA,-33.612042,-70.575437,PUENTE ALTO
408,AHUMADA,-33.566537,-70.556883,PUENTE ALTO
409,ANGEL,-33.618122,-70.574144,PUENTE ALTO
