,Source,Target,distancias,longitudclase,pesos
64256,91,86,64.1654372720089,A,0.993063260645491
64257,91,87,60.7670498935223,A,0.993428236051154
64259,91,89,219.130898924009,A,0.976700723630926
64260,91,90,94.7770666444277,A,0.989787722006324
64266,91,96,117.61216477159,A,0.98735833310325
64971,92,88,441.289632270044,A,0.954162253424497
64978,92,95,398.550113149787,A,0.958417098185434
65637,93,41,274.175978471006,A,0.971017634942272
65646,93,50,252.355440147078,A,0.973262549899758
67110,95,88,42.763939625584,A,0.99536619347099
67114,95,92,398.550113149787,A,0.958417098185434
67821,96,86,53.6543139130177,A,0.994192989047626
67822,96,87,95.1894482014681,A,0.989743743409929
67824,96,89,273.978900749079,A,0.971037864114821
67825,96,90,44.7760565243866,A,0.995149222513288
67826,96,91,117.61216477159,A,0.98735833310325
69260,98,99,469.014537636049,A,0.951422301551163
69273,98,112,297.707744280299,A,0.968608244964322
69281,98,120,439.591759442614,A,0.954330560946007
69282,98,121,439.591759442614,A,0.954330560946007
69289,98,128,465.429385124152,A,0.951775722988263
69292,98,131,419.158858516314,A,0.956360709834417
69803,98,642,442.117810103406,A,0.954080178968912
69840,98,679,366.399946655302,A,0.961642834640238
69843,98,682,366.36703216236,A,0.961646148190545
69972,99,98,469.014537636049,A,0.951422301551163
69994,99,120,438.199987096518,A,0.954468569488543
69995,99,121,438.199987096518,A,0.954468569488543
70002,99,128,399.154084965444,A,0.958356706699549
70516,99,642,438.84616712665,A,0.954404489128909
70541,99,667,439.953539629945,A,0.954294693254747
70553,99,679,301.015423972812,A,0.96827053363746
70556,99,682,300.873848855578,A,0.968284983514295
70582,99,708,230.008479707481,A,0.975572407911797
70689,100,102,292.0288563609,A,0.969188604415181
70701,100,114,382.286544345557,A,0.960046168485623
71416,101,116,168.356770010371,A,0.982002162256411
72113,102,100,292.0288563609,A,0.969188604415181
72146,102,133,247.493697223298,A,0.973764144769108
72830,103,104,101.620085008436,A,0.989058450863608
72845,103,119,37.5922671923912,A,0.995924300546158
72849,103,123,21.4268066719513,A,0.99767285785497
72853,103,127,101.620085008436,A,0.989058450863608
72862,103,136,37.1339591280701,A,0.995973789587484
72863,103,137,428.823982278585,A,0.955399338022053
73542,104,103,101.620085008436,A,0.989058450863608
73558,104,119,70.1398838699425,A,0.992422274850531
73562,104,123,85.5063785269372,A,0.990777430827979
73575,104,136,65.2519588559399,A,0.992946628441726
73576,104,137,338.292701501081,A,0.964480773004861
74289,105,137,211.91368206281,A,0.977450796527012
75700,107,122,323.207530915477,A,0.966010814084628
76411,108,120,238.097968627825,A,0.974734985748912
76412,108,121,238.097968627825,A,0.974734985748912
76419,108,128,242.550685964236,A,0.974274654572917
76422,108,131,285.172213125599,A,0.969890253155745
76933,108,642,235.861728066881,A,0.974966337077981
76958,108,667,196.969973459698,A,0.979007538497208
76970,108,679,367.156682444472,A,0.961566659234952
76973,108,682,367.283638743008,A,0.961553880596688
76999,108,708,420.940270145178,A,0.956183370735153
77114,109,110,421.398170619387,A,0.956137797477933
77128,109,124,22.2029433612887,A,0.997588765749991
77129,109,125,78.787148069254,A,0.991495992268173
77826,110,109,421.398170619387,A,0.956137797477933
77841,110,124,431.657459602789,A,0.955117863592082
77842,110,125,471.168251314755,A,0.951210116366472
78560,111,130,457.323601859585,A,0.952575753289396
79241,112,98,297.707744280299,A,0.968608244964322
79263,112,120,407.385183610523,A,0.957534432438823
79264,112,121,407.385183610523,A,0.957534432438823
79271,112,128,462.241461031814,A,0.952090206583588
79274,112,131,283.257489405351,A,0.970086370687376
79785,112,642,409.617709757161,A,0.957311649668127
79810,112,667,476.460390296284,A,0.950689133387794
79822,112,679,436.008261320857,A,0.954685982582248
79825,112,682,436.079078937093,A,0.954678956123471
80669,114,100,382.286544345557,A,0.960046168485623
82096,116,101,168.356770010371,A,0.982002162256411
84237,119,103,37.5922671923912,A,0.995924300546158
84238,119,104,70.1398838699425,A,0.992422274850531
84257,119,123,34.098233646907,A,0.996301717653448
84261,119,127,70.1398838699425,A,0.992422274850531
84270,119,136,11.3651483328722,A,0.998764293250197
84271,119,137,391.289764412152,A,0.959143660718254
84945,120,98,439.591759442614,A,0.954330560946007
84946,120,99,438.199987096518,A,0.954468569488543
84955,120,108,238.097968627825,A,0.974734985748912
84959,120,112,407.385183610523,A,0.957534432438823
84975,120,128,60.8758018462463,A,0.993416552301078
84978,120,131,159.558212212881,A,0.982926695152543
85489,120,642,2.57327081810842,A,0.999719946402885
85514,120,667,70.4675272474229,A,0.992387146615378
85526,120,679,143.218281037848,A,0.984648285365757
85529,120,682,143.361431042014,A,0.984633176764411
85555,120,708,289.85138807473,A,0.969411317393749
85658,121,98,439.591759442614,A,0.954330560946007
85659,121,99,438.199987096518,A,0.954468569488543
85668,121,108,238.097968627825,A,0.974734985748912
85672,121,112,407.385183610523,A,0.957534432438823
85688,121,128,60.8758018462463,A,0.993416552301078
85691,121,131,159.558212212881,A,0.982926695152543
86202,121,642,2.57327081810842,A,0.999719946402885
86227,121,667,70.4675272474229,A,0.992387146615378
86239,121,679,143.218281037848,A,0.984648285365757
86242,121,682,143.361431042014,A,0.984633176764411
86268,121,708,289.85138807473,A,0.969411317393749
86380,122,107,323.207530915477,A,0.966010814084628
87089,123,103,21.4268066719513,A,0.99767285785497
87090,123,104,85.5063785269372,A,0.990777430827979
87105,123,119,34.098233646907,A,0.996301717653448
87113,123,127,85.5063785269372,A,0.990777430827979
87122,123,136,27.2083723199988,A,0.997046782716793
87123,123,137,418.796518409018,A,0.956396788755903
87808,124,109,22.2029433612887,A,0.997588765749991
87809,124,110,431.657459602789,A,0.955117863592082
87824,124,125,56.95906491507,A,0.993837519721735
88521,125,109,78.787148069254,A,0.991495992268173
88522,125,110,471.168251314755,A,0.951210116366472
88536,125,124,56.95906491507,A,0.993837519721735
88989,125,577,454.325960943477,A,0.952871957330949
89941,127,103,101.620085008436,A,0.989058450863608
89957,127,119,70.1398838699425,A,0.992422274850531
89961,127,123,85.5063785269372,A,0.990777430827979
89974,127,136,65.2519588559399,A,0.992946628441726
89975,127,137,338.292701501081,A,0.964480773004861
90649,128,98,465.429385124152,A,0.951775722988263
90650,128,99,399.154084965444,A,0.958356706699549
90659,128,108,242.550685964236,A,0.974274654572917
90663,128,112,462.241461031814,A,0.952090206583588
90671,128,120,60.8758018462463,A,0.993416552301078
90672,128,121,60.8758018462463,A,0.993416552301078
90682,128,131,220.341197080486,A,0.976575052127737
91193,128,642,59.5290103915334,A,0.993561264018762
91218,128,667,45.6521837160076,A,0.995054777363519
91230,128,679,125.262572314523,A,0.986547083519524
91233,128,682,125.383341785431,A,0.986534287807192
91259,128,708,232.891899531876,A,0.975273751923061
92088,130,111,457.323601859585,A,0.952575753289396
92788,131,98,419.158858516314,A,0.956360709834417
92798,131,108,285.172213125599,A,0.969890253155745
92802,131,112,283.257489405351,A,0.970086370687376
92810,131,120,159.558212212881,A,0.982926695152543
92811,131,121,159.558212212881,A,0.982926695152543
92818,131,128,220.341197080486,A,0.976575052127737
93332,131,642,160.816736685221,A,0.982794345517732
93357,131,667,216.146968959658,A,0.977010698694433
93369,131,679,266.191373069814,A,0.971837895272052
93372,131,682,266.32568240883,A,0.971824086183862
93398,131,708,446.02622604343,A,0.953693035832911
93802,132,399,147.796354471452,A,0.984165327495974
94218,133,102,247.493697223298,A,0.973764144769108
95529,134,700,138.824915519844,A,0.985112203627313
96205,135,663,346.395562058176,A,0.963660924721147
96358,136,103,37.1339591280701,A,0.995973789587484
96359,136,104,65.2519588559399,A,0.992946628441726
96374,136,119,11.3651483328722,A,0.998764293250197
96378,136,123,27.2083723199988,A,0.997046782716793
96382,136,127,65.2519588559399,A,0.992946628441726
96392,136,137,392.972290791964,A,0.958975187754313
97071,137,103,428.823982278585,A,0.955399338022053
97072,137,104,338.292701501081,A,0.964480773004861
97073,137,105,211.91368206281,A,0.977450796527012
97087,137,119,391.289764412152,A,0.959143660718254
97091,137,123,418.796518409018,A,0.956396788755903
97095,137,127,338.292701501081,A,0.964480773004861
97104,137,136,392.972290791964,A,0.958975187754313
100478,141,658,233.601690408569,A,0.975200261954572
101031,142,498,402.397115173465,A,0.958032564365551
101032,142,499,400.137285242382,A,0.958258412221201
101392,143,146,51.0491356681849,A,0.994473389434632
103528,146,143,51.0491356681849,A,0.994473389434632
104698,147,600,456.754743814427,A,0.952631949350138
105004,148,193,35.6127904974632,A,0.996138083744185
105016,148,205,31.2420156455551,A,0.996610452017373
105392,148,581,34.2385804026512,A,0.996286552219971
107104,151,154,363.624551408791,A,0.961922317992836
107110,151,160,16.8079860650129,A,0.998173586721295
107219,151,269,171.015136798768,A,0.981723169010074
107822,152,159,89.9841317613059,A,0.990299153304062
108994,153,618,63.7148774243655,A,0.993111633840583
109240,154,151,363.624551408791,A,0.961922317992836
109249,154,160,352.363326825578,A,0.963057996392051
109959,155,157,25.9840625034004,A,0.99717929539264
110408,155,606,193.15894393625,A,0.979405341558128
110676,156,161,73.4499222056488,A,0.992067503897773
111383,157,155,25.9840625034004,A,0.99717929539264
111834,157,606,206.157692907774,A,0.978049832851657
112160,158,219,244.522324304394,A,0.974070961359737
112162,158,221,469.538638801432,A,0.951370658070095
112165,158,224,207.524817121708,A,0.977907487256371
112167,158,226,460.918232894397,A,0.952220801957442
112560,158,619,422.32607000152,A,0.956045460167805
112806,159,152,89.9841317613059,A,0.990299153304062
113518,160,151,16.8079860650129,A,0.998173586721295
113521,160,154,352.363326825578,A,0.963057996392051
113636,160,269,172.570822032335,A,0.981559974737077
114236,161,156,73.4499222056488,A,0.992067503897773
116875,164,656,101.680680721102,A,0.98905199788414
118530,167,172,413.483697188934,A,0.956926109627084
118544,167,186,274.176418393808,A,0.971017589787049
119258,168,187,181.205645032402,A,0.980655151183059
119985,169,201,268.308013851672,A,0.971620317322352
120668,170,171,444.719823496989,A,0.953822404901755
121380,171,170,444.719823496989,A,0.953822404901755
121398,171,188,138.139139661259,A,0.985184657705389
121421,171,211,462.732379599745,A,0.952041764717993
121841,171,631,190.72683130806,A,0.979659379482087
121874,171,664,189.137757227119,A,0.979825431919807
122090,172,167,413.483697188934,A,0.956926109627084
122109,172,186,195.897773699817,A,0.979119424230112
122827,173,191,9.23773884006463,A,0.998995369270074
123524,174,175,267.562162959966,A,0.971696975193583
123544,174,195,80.7858675091004,A,0.991282138265426
124236,175,174,267.562162959966,A,0.971696975193583
124257,175,195,189.588441051348,A,0.979778331387865
124954,176,179,328.162027664232,A,0.965507760083351
124969,176,194,421.127841617637,A,0.956164701867181
125697,177,209,362.336469624912,A,0.962052083517542
125706,177,218,336.447731666385,A,0.96466764226175
126397,178,196,18.3730756297711,A,0.998003858213645
127090,179,176,328.162027664232,A,0.965507760083351
127108,179,194,243.846134496638,A,0.974140810048501
128522,181,182,260.494938267697,A,0.97242393884232
128523,181,183,21.1052894770927,A,0.997707697441101
129234,182,181,260.494938267697,A,0.97242393884232
129236,182,183,262.612198087182,A,0.972206034736735
129947,183,181,21.1052894770927,A,0.997707697441101
129948,183,182,262.612198087182,A,0.972206034736735
131147,184,668,12.791559213767,A,0.998609418502637
132072,186,167,274.176418393808,A,0.971017589787049
132077,186,172,195.897773699817,A,0.979119424230112
132786,187,168,181.205645032402,A,0.980655151183059
133502,188,171,138.139139661259,A,0.985184657705389
133542,188,211,440.350661628261,A,0.954255324801772
133962,188,631,55.5857370989978,A,0.993985208272753
133995,188,664,65.5237777938003,A,0.99291745443593
134261,189,217,157.015172769259,A,0.983194236465231
135643,191,173,9.23773884006463,A,0.998995369270074
136387,192,204,1.42897503340821,A,0.999844462759385
136496,192,313,454.404839129341,A,0.952864160829656
136549,192,366,474.758423528247,A,0.950856620711761
136775,192,592,3.79957199451643,A,0.999586541065616
137044,193,148,35.6127904974632,A,0.996138083744185
137101,193,205,4.60785575704287,A,0.999498629956237
137477,193,581,1.85945972125356,A,0.999797615999991
137785,194,176,421.127841617637,A,0.956164701867181
137788,194,179,243.846134496638,A,0.974140810048501
138496,195,174,80.7858675091004,A,0.991282138265426
138497,195,175,189.588441051348,A,0.979778331387865
139213,196,178,18.3730756297711,A,0.998003858213645
140661,198,200,4.12341833504398,A,0.999551316812556
140677,198,216,4.06159573467909,A,0.999558040967066
141374,199,200,4.12341833504398,A,0.999551316812556
141390,199,216,4.06159573467909,A,0.999558040967066
142085,200,198,4.12341833504398,A,0.999551316812556
142086,200,199,4.12341833504398,A,0.999551316812556
142103,200,216,5.61102906101456,A,0.999389543640594
142465,200,578,4.12341833504398,A,0.999551316812556
142769,201,169,268.308013851672,A,0.971620317322352
143540,202,227,19.9935616909442,A,0.997828182960026
144931,204,192,1.42897503340821,A,0.999844462759385
145052,204,313,454.128866617627,A,0.952891439145093
145105,204,366,475.374456614187,A,0.950795991249307
145331,204,592,5.13537762787552,A,0.999441263601743
145600,205,148,31.2420156455551,A,0.996610452017373
145645,205,193,4.60785575704287,A,0.999498629956237
146033,205,581,3.0075952997559,A,0.999672693575506
148481,209,177,362.336469624912,A,0.962052083517542
149901,211,171,462.732379599745,A,0.952041764717993
149918,211,188,440.350661628261,A,0.954255324801772
149942,211,212,167.844030784343,A,0.982055992028428
150361,211,631,463.879814450686,A,0.951928559695068
150394,211,664,489.77997165194,A,0.949380413580526
150654,212,211,167.844030784343,A,0.982055992028428
151534,213,378,410.009619131813,A,0.957272551905495
151755,213,599,269.121963586165,A,0.971536674115374
152541,214,672,67.5879213526153,A,0.992695968270137
152565,214,696,37.3603537983007,A,0.995949342413668
153493,216,198,4.06159573467909,A,0.999558040967066
153494,216,199,4.06159573467909,A,0.999558040967066
153495,216,200,5.61102906101456,A,0.999389543640594
153873,216,578,4.06159573467909,A,0.999558040967066
154197,217,189,157.015172769259,A,0.983194236465231
154898,218,177,336.447731666385,A,0.96466764226175
155592,219,158,244.522324304394,A,0.974070961359737
155658,219,224,39.5749550902726,A,0.995710262503198
156053,219,619,183.554322573555,A,0.980409327089633
157018,221,158,469.538638801432,A,0.951370658070095
157086,221,226,191.602116546687,A,0.979567939407679
158192,222,619,359.23390096009,A,0.962364790093818
158901,223,615,68.2157920520331,A,0.992628616258921
159157,224,158,207.524817121708,A,0.977907487256371
159218,224,219,39.5749550902726,A,0.995710262503198
159618,224,619,216.089302062917,A,0.977016691155027
160583,226,158,460.918232894397,A,0.952220801957442
160646,226,221,191.602116546687,A,0.979567939407679
161340,227,202,19.9935616909442,A,0.997828182960026
162890,229,326,469.417714585552,A,0.951382573110733
164940,232,237,117.369275566127,A,0.98738411093872
165384,232,681,142.442586877833,A,0.984730163171382
166064,233,648,225.587976706603,A,0.976030625702016
166180,234,51,52.4279805234986,A,0.9943249619885
166364,234,235,38.1951814521764,A,0.995859204122465
166365,234,236,53.7051983149384,A,0.994187513835142
166893,235,51,75.4645260655069,A,0.99185170216282
167076,235,234,38.1951814521764,A,0.995859204122465
167078,235,236,22.0213852304447,A,0.997608435763976
167606,236,51,96.8363813438855,A,0.989568144529044
167789,236,234,53.7051983149384,A,0.994187513835142
167790,236,235,22.0213852304447,A,0.997608435763976
168500,237,232,117.369275566127,A,0.98738411093872
168949,237,681,92.0503203649566,A,0.990078615344088
169225,238,244,63.3927382909019,A,0.993146222366493
169679,238,698,375.662680208452,A,0.960711248217969
169934,239,240,399.508567474005,A,0.958321265335759
170646,240,239,399.508567474005,A,0.958321265335759
170649,240,242,306.38831671423,A,0.967722467444609
171105,240,698,478.457331692628,A,0.950492693383213
171602,241,482,41.0714680641943,A,0.995548769648112
172073,242,240,306.38831671423,A,0.967722467444609
172077,242,244,484.80620698479,A,0.949868690702889
172531,242,698,172.470427243176,A,0.98157050469936
173497,244,238,63.3927382909019,A,0.993146222366493
173501,244,242,484.80620698479,A,0.949868690702889
173957,244,698,312.3429035136,A,0.967115789465696
174223,245,251,35.745362298222,A,0.996123763141252
174226,245,254,494.462708841808,A,0.94892116535307
174239,245,267,411.023648463405,A,0.957171404873684
174248,245,276,319.210628717799,A,0.966417021065832
174673,245,701,149.912069391757,A,0.98394229294776
174932,246,247,85.3258953277472,A,0.990796718275091
