"","Id","Label","timeset","farmacia","latitude","longitude","Zona","Farm","columna1"
"186","186","CRUZ VERDE",NA,"LAS CONDES",-33.423851,-70.578522,"","CRUZ VERDE","CRUZ VERDE"
"187","187","CRUZ VERDE",NA,"LAS CONDES",-33.416089,-70.593258,"","CRUZ VERDE","CRUZ VERDE"
"188","188","CRUZ VERDE",NA,"LAS CONDES",-33.409177,-70.567914,"","CRUZ VERDE","CRUZ VERDE"
"189","189","CRUZ VERDE",NA,"LAS CONDES",-33.408266,-70.553483,"","CRUZ VERDE","CRUZ VERDE"
"190","190","CRUZ VERDE",NA,"LAS CONDES",-33.401262,-70.523223,"","CRUZ VERDE","CRUZ VERDE"
"191","191","CRUZ VERDE",NA,"LAS CONDES",-33.41668,-70.564999,"","CRUZ VERDE","CRUZ VERDE"
"192","192","CRUZ VERDE",NA,"LAS CONDES",-33.43126,-70.578745,"","CRUZ VERDE","CRUZ VERDE"
"193","193","CRUZ VERDE",NA,"LAS CONDES",-33.428769,-70.540587,"","CRUZ VERDE","CRUZ VERDE"
"194","194","CRUZ VERDE",NA,"LAS CONDES",-33.384402,-70.529446,"","CRUZ VERDE","CRUZ VERDE"
"195","195","CRUZ VERDE",NA,"LAS CONDES",-33.417584,-70.552786,"","CRUZ VERDE","CRUZ VERDE"
"196","196","CRUZ VERDE",NA,"LAS CONDES",-33.401473,-70.560305,"","CRUZ VERDE","CRUZ VERDE"
"197","197","CRUZ VERDE",NA,"LAS CONDES",-33.401871,-70.580534,"","CRUZ VERDE","CRUZ VERDE"
"198","198","CRUZ VERDE",NA,"LAS CONDES",-33.388784,-70.545276,"","CRUZ VERDE","CRUZ VERDE"
"199","199","CRUZ VERDE",NA,"LAS CONDES",-33.388784,-70.545276,"","CRUZ VERDE","CRUZ VERDE"
"200","200","CRUZ VERDE",NA,"LAS CONDES",-33.388793,-70.545233,"","CRUZ VERDE","CRUZ VERDE"
"201","201","DEL DR. SIMI",NA,"LAS CONDES",-33.413942,-70.583546,"","DEL DR. SIMI","OTRO"
"202","202","LA DEHESA",NA,"LO BARNECHEA",-33.351513,-70.510453,"","LA DEHESA","OTRO"
"203","203","SALCOBRAND",NA,"LAS CONDES",-33.423777,-70.538633,"","SALCOBRAND","SALCOBRAND"
"204","204","SALCOBRAND",NA,"LAS CONDES",-33.431271,-70.578737,"","SALCOBRAND","SALCOBRAND"
"205","205","SALCOBRAND",NA,"LAS CONDES",-33.428728,-70.540595,"","SALCOBRAND","SALCOBRAND"
"206","206","SALCOBRAND",NA,"LAS CONDES",-33.390101,-70.49899,"","SALCOBRAND","SALCOBRAND"
"207","207","SALCOBRAND",NA,"LAS CONDES",-33.373666,-70.519669,"","SALCOBRAND","SALCOBRAND"
"208","208","SALCOBRAND",NA,"LAS CONDES",-33.367972,-70.500964,"","SALCOBRAND","SALCOBRAND"
"209","209","SALCOBRAND",NA,"LAS CONDES",-33.398228,-70.551397,"","SALCOBRAND","SALCOBRAND"
"210","210","SALCOBRAND",NA,"LAS CONDES",-33.392287,-70.514933,"","SALCOBRAND","SALCOBRAND"
"211","211","SALCOBRAND",NA,"LAS CONDES",-33.405257,-70.568665,"","SALCOBRAND","SALCOBRAND"
"212","212","SALCOBRAND",NA,"LAS CONDES",-33.40377,-70.569,"","SALCOBRAND","SALCOBRAND"
"213","213","SALCOBRAND",NA,"LAS CONDES",-33.4245,-70.592566,"","SALCOBRAND","SALCOBRAND"
"214","214","SALCOBRAND",NA,"LAS CONDES",-33.41604,-70.539075,"","SALCOBRAND","SALCOBRAND"
"215","215","SALCOBRAND",NA,"LAS CONDES",-33.409332,-70.54435,"","SALCOBRAND","SALCOBRAND"
"216","216","SALCOBRAND",NA,"LAS CONDES",-33.38882,-70.545284,"","SALCOBRAND","SALCOBRAND"
"217","217","SALCOBRAND",NA,"LAS CONDES",-33.408472,-70.551813,"","SALCOBRAND","SALCOBRAND"
"218","218","SALCOBRAND",NA,"LAS CONDES",-33.394043,-70.545963,"","SALCOBRAND","SALCOBRAND"
"219","219","SALCOBRAND",NA,"LO BARNECHEA",-33.358348,-70.517145,"","SALCOBRAND","SALCOBRAND"
"220","220","AHUMADA",NA,"LO BARNECHEA",-33.344178,-70.544609,"","AHUMADA","AHUMADA"
"221","221","AHUMADA",NA,"LO BARNECHEA",-33.353025,-70.520621,"","AHUMADA","AHUMADA"
"222","222","AHUMADA",NA,"LO BARNECHEA",-33.362883,-70.514956,"","AHUMADA","AHUMADA"
"223","223","CRUZ VERDE",NA,"LO BARNECHEA",-33.355517,-70.537916,"","CRUZ VERDE","CRUZ VERDE"
"224","224","CRUZ VERDE",NA,"LO BARNECHEA",-33.358008,-70.517016,"","CRUZ VERDE","CRUZ VERDE"
"225","225","VITA",NA,"LO BARNECHEA",-33.357631,-70.506598,"","VITA","OTRO"
"226","226","SALCOBRAND",NA,"LO BARNECHEA",-33.35221,-70.518806,"","SALCOBRAND","SALCOBRAND"
"227","227","SALCOBRAND",NA,"LO BARNECHEA",-33.351484,-70.510665,"","SALCOBRAND","SALCOBRAND"
"228","228","SALCOBRAND",NA,"LO BARNECHEA",-33.355194,-70.532187,"","SALCOBRAND","SALCOBRAND"
"229","229","FARMAR",NA,"LO ESPEJO",-33.506327,-70.69199,"","FARMAR","OTRO"
"230","230","LA FE",NA,"LO ESPEJO",-33.519716,-70.69593,"","LA FE","OTRO"
"231","231","L-V",NA,"LO ESPEJO",-33.508946,-70.686296,"","L-V","OTRO"
"232","232","AHUMADA",NA,"LO PRADO",-33.444907,-70.723416,"","AHUMADA","AHUMADA"
"233","233","CRUZ VERDE",NA,"LO PRADO",-33.457708,-70.711831,"","CRUZ VERDE","CRUZ VERDE"
"234","234","CRUZ VERDE",NA,"LO PRADO",-33.456902,-70.705629,"","CRUZ VERDE","CRUZ VERDE"
"235","235","LAS ROSAS",NA,"LO PRADO",-33.45717,-70.705887,"","LAS ROSAS","OTRO"
"236","236","SALCOBRAND",NA,"LO PRADO",-33.457153,-70.706123,"","SALCOBRAND","SALCOBRAND"
"237","237","SALCOBRAND",NA,"LO PRADO",-33.444083,-70.722624,"","SALCOBRAND","SALCOBRAND"
"238","238","SALCOBRAND",NA,"MACUL",-33.485628,-70.599306,"","SALCOBRAND","SALCOBRAND"
"239","239","AHUMADA",NA,"MACUL",-33.474337,-70.598792,"","AHUMADA","AHUMADA"
"240","240","AHUMADA",NA,"MACUL",-33.477933,-70.59904,"","AHUMADA","AHUMADA"
"241","241","AHUMADA",NA,"MACUL",-33.491661,-70.617414,"","AHUMADA","AHUMADA"
"242","242","CRUZ VERDE",NA,"MACUL",-33.480686,-70.599312,"","CRUZ VERDE","CRUZ VERDE"
"243","243","CRUZ VERDE",NA,"MACUL",-33.491518,-70.599723,"","CRUZ VERDE","CRUZ VERDE"
