Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
62,SALCOBRAND,,ESTACION CENTRAL,33.450755,-70.679185,SALCOBRAND,,,,22,6.116301,14,0.165527,0.223985,5150.836859,17,0.00123,1,0.709957,164,0.183487
63,SALCOBRAND,,ESTACION CENTRAL,33.451979,-70.682283,SALCOBRAND,,,,21,6.180192,14,0.161852,0.2188,3073.457401,17,0.001217,1,0.742857,156,0.152702
64,SALCOBRAND,,ESTACION CENTRAL,33.453151,-70.687245,SALCOBRAND,,,,19,5.117133,14,0.153186,0.201231,550.849612,17,0.001264,1,0.74269,127,0.06778
65,SALCOBRAND,,ESTACION CENTRAL,33.453167,-70.68039,SALCOBRAND,,,,21,6.354208,14,0.164563,0.221084,4520.657456,17,0.001207,1,0.761905,160,0.165006
66,SALCOBRAND,,ESTACION CENTRAL,33.451101,-70.679644,SALCOBRAND,,,,22,6.512722,14,0.165527,0.223985,5150.836859,17,0.00123,1,0.709957,164,0.183487
67,SALCOBRAND,,HUECHURABA,33.368062,-70.678301,SALCOBRAND,,,,9,2.441714,18,0.102032,0.129519,105.249491,3,0.001178,1,0.75,27,0.008058
68,SALCOBRAND,,HUECHURABA,33.368062,-70.678301,SALCOBRAND,,,,9,2.441714,18,0.102032,0.129519,105.249491,3,0.001178,1,0.75,27,0.008058
69,AHUMADA,,HUECHURABA,33.368062,-70.678301,AHUMADA,,,,9,2.441714,18,0.102032,0.129519,105.249491,3,0.001178,1,0.75,27,0.008058
70,AHUMADA,,HUECHURABA,33.351179,-70.670396,AHUMADA,,,,7,1.746848,18,0.097163,0.119701,0.4,3,0.001066,1,0.904762,19,0.005051
71,CRUZ VERDE,,HUECHURABA,33.36799,-70.678378,CRUZ VERDE,,,,11,4.353766,18,0.102062,0.130994,105.582825,3,0.001404,1,0.781818,43,0.009512
72,CRUZ VERDE,,HUECHURABA,33.347738,-70.670353,CRUZ VERDE,,,,7,2.914306,18,0.097163,0.119701,0.4,3,0.001066,1,0.904762,19,0.005051
73,FARMAVIDA,,HUECHURABA,33.376326,-70.637787,FARMAVIDA,,,,5,0.638865,16,0.119577,0.149495,4553.849597,3,0.000729,1,0.6,6,0.004025
