Source,Target,Type,Id,Label,timeset,Weight,comunas
Metropolitano Oriente,201,Undirected,1618,,,1,LAS CONDES
Metropolitano Oriente,202,Undirected,1619,,,1,LO BARNECHEA
Metropolitano Oriente,203,Undirected,1620,,,1,LAS CONDES
Metropolitano Oriente,204,Undirected,1621,,,1,LAS CONDES
Metropolitano Oriente,205,Undirected,1622,,,1,LAS CONDES
Metropolitano Oriente,206,Undirected,1623,,,1,LAS CONDES
Metropolitano Oriente,207,Undirected,1624,,,1,LAS CONDES
Metropolitano Oriente,208,Undirected,1625,,,1,LAS CONDES
Metropolitano Oriente,209,Undirected,1626,,,1,LAS CONDES
Metropolitano Oriente,210,Undirected,1627,,,1,LAS CONDES
Metropolitano Oriente,211,Undirected,1628,,,1,LAS CONDES
Metropolitano Oriente,212,Undirected,1629,,,1,LAS CONDES
Metropolitano Oriente,213,Undirected,1630,,,1,LAS CONDES
Metropolitano Oriente,214,Undirected,1631,,,1,LAS CONDES
Metropolitano Oriente,215,Undirected,1632,,,1,LAS CONDES
Metropolitano Oriente,216,Undirected,1633,,,1,LAS CONDES
Metropolitano Oriente,217,Undirected,1634,,,1,LAS CONDES
Metropolitano Oriente,218,Undirected,1635,,,1,LAS CONDES
Metropolitano Oriente,219,Undirected,1636,,,1,LO BARNECHEA
Metropolitano Oriente,220,Undirected,1637,,,1,LO BARNECHEA
Metropolitano Oriente,221,Undirected,1638,,,1,LO BARNECHEA
Metropolitano Oriente,222,Undirected,1639,,,1,LO BARNECHEA
Metropolitano Oriente,223,Undirected,1640,,,1,LO BARNECHEA
Metropolitano Oriente,224,Undirected,1641,,,1,LO BARNECHEA
Metropolitano Oriente,225,Undirected,1642,,,1,LO BARNECHEA
Metropolitano Oriente,226,Undirected,1643,,,1,LO BARNECHEA
Metropolitano Oriente,227,Undirected,1644,,,1,LO BARNECHEA
Metropolitano Oriente,228,Undirected,1645,,,1,LO BARNECHEA
Metropolitano Sur,229,Undirected,1646,,,1,LO ESPEJO
Metropolitano Sur,230,Undirected,1647,,,1,LO ESPEJO
Metropolitano Sur,231,Undirected,1648,,,1,LO ESPEJO
Metropolitano Occidente,232,Undirected,1649,,,1,LO PRADO
Metropolitano Occidente,233,Undirected,1650,,,1,LO PRADO
Metropolitano Occidente,234,Undirected,1651,,,1,LO PRADO
Metropolitano Occidente,235,Undirected,1652,,,1,LO PRADO
Metropolitano Occidente,236,Undirected,1653,,,1,LO PRADO
Metropolitano Occidente,237,Undirected,1654,,,1,LO PRADO
Metropolitano Oriente,238,Undirected,1655,,,1,MACUL
Metropolitano Oriente,239,Undirected,1656,,,1,MACUL
Metropolitano Oriente,240,Undirected,1657,,,1,MACUL
Metropolitano Oriente,241,Undirected,1658,,,1,MACUL
Metropolitano Oriente,242,Undirected,1659,,,1,MACUL
Metropolitano Oriente,243,Undirected,1660,,,1,MACUL
Metropolitano Oriente,244,Undirected,1661,,,1,MACUL
Metropolitano Central,245,Undirected,1662,,,1,MAIPU
Metropolitano Central,246,Undirected,1663,,,1,MAIPU
Metropolitano Central,247,Undirected,1664,,,1,MAIPU
Metropolitano Central,248,Undirected,1665,,,1,MAIPU
Metropolitano Central,249,Undirected,1666,,,1,MAIPU
Metropolitano Central,250,Undirected,1667,,,1,MAIPU
Metropolitano Central,251,Undirected,1668,,,1,MAIPU
Metropolitano Central,252,Undirected,1669,,,1,MAIPU
Metropolitano Central,253,Undirected,1670,,,1,MAIPU
Metropolitano Central,254,Undirected,1671,,,1,MAIPU
Metropolitano Central,255,Undirected,1672,,,1,MAIPU
Metropolitano Central,256,Undirected,1673,,,1,MAIPU
Metropolitano Central,257,Undirected,1674,,,1,MAIPU
Metropolitano Central,258,Undirected,1675,,,1,MAIPU
Metropolitano Central,259,Undirected,1676,,,1,MAIPU
Metropolitano Central,260,Undirected,1677,,,1,MAIPU
Metropolitano Central,261,Undirected,1678,,,1,MAIPU
Metropolitano Central,262,Undirected,1679,,,1,MAIPU
Metropolitano Central,263,Undirected,1680,,,1,MAIPU
Metropolitano Central,264,Undirected,1681,,,1,MAIPU
Metropolitano Central,265,Undirected,1682,,,1,MAIPU
Metropolitano Central,266,Undirected,1683,,,1,MAIPU
Metropolitano Central,267,Undirected,1684,,,1,MAIPU
Metropolitano Central,268,Undirected,1685,,,1,MAIPU
Metropolitano Oriente,269,Undirected,1686,,,1,LA REINA
Metropolitano Central,270,Undirected,1687,,,1,MAIPU
Metropolitano Central,271,Undirected,1688,,,1,MAIPU
Metropolitano Central,272,Undirected,1689,,,1,MAIPU
Metropolitano Central,273,Undirected,1690,,,1,MAIPU
Metropolitano Central,274,Undirected,1691,,,1,MAIPU
Metropolitano Central,275,Undirected,1692,,,1,MAIPU
Metropolitano Central,276,Undirected,1693,,,1,MAIPU
Metropolitano Central,277,Undirected,1694,,,1,MAIPU
Metropolitano Central,278,Undirected,1695,,,1,MAIPU
Metropolitano Occidente,279,Undirected,1696,,,1,MELIPILLA
Metropolitano Occidente,280,Undirected,1697,,,1,MELIPILLA
Metropolitano Occidente,281,Undirected,1698,,,1,MELIPILLA
Metropolitano Occidente,282,Undirected,1699,,,1,MELIPILLA
Metropolitano Occidente,283,Undirected,1700,,,1,MELIPILLA
Metropolitano Occidente,284,Undirected,1701,,,1,MELIPILLA
Metropolitano Occidente,285,Undirected,1702,,,1,MELIPILLA
Metropolitano Occidente,286,Undirected,1703,,,1,MELIPILLA
Metropolitano Oriente,287,Undirected,1704,,,1,NUNOA
Metropolitano Oriente,288,Undirected,1705,,,1,NUNOA
Metropolitano Oriente,289,Undirected,1706,,,1,NUNOA
